Deliverable,PlannedHours,ActualToDate,PctComplete,EAC,Variance,Notes
SAP + randomization schedule,80,78,100,78,2,Complete; small under-run
ADaM specifications,60,55,100,55,5,Complete; under-run
ADaM programming,120,90,70,128,-8,Over-running; watch
ADaM QC / validation,80,40,60,70,10,Tracking under plan (slack)
TLF programming,200,120,60,210,-10,Over-running; watch
TLF QC (double-programming),120,50,45,110,10,Tracking under plan (slack)
PK / NCA (Phoenix),60,30,55,55,5,Slight under-run
Interim / DSMB outputs,40,40,100,40,0,Complete; on plan
CSR tables + narrative support,90,10,10,85,5,Early; slight under-run
CONTINGENCY (management reserve),40,0,0,0,40,Unallocated buffer
TOTAL,890,513,,831,59,Net findable = (planned+contingency) - EAC
